Country__or_dependency_,Population__2020_,Yearly_Change,Net_Change,Density__P_Km___,Land_Area__Km___,Migrants__net_,Fert__Rate,Med__Age,Urban_Pop__,World_Share
Ireland,4926480,0.0113,55291,72,68890,23604.0,1.8,38,63 %,0.0006
New Zealand,4814272,0.008199999999999999,39170,18,263310,14881.0,1.9,38,87 %,0.0006
Moldova,4035814,-0.0023,-9300,123,32850,-1387.0,1.3,38,43 %,0.0005
Georgia,3990681,-0.0019,-7598,57,69490,-10000.0,2.1,38,58 %,0.0005
North Macedonia,2083391,0.0,-85,83,25220,-1000.0,1.5,39,59 %,0.0003
Macao,647508,0.0139,8890,21645,30,5000.0,1.2,39,N.A.,0.0001
Montenegro,628050,0.0001,79,47,13450,-480.0,1.8,39,68 %,0.0001
Russia,145922010,0.0004,62206,9,16376870,182456.0,1.8,40,74 %,0.0187
Thailand,69764925,0.0025,174396,137,510890,19444.0,1.5,40,51 %,0.0090000000000000011
United Kingdom,67814098,0.0053,355839,281,241930,260650.0,1.8,40,83 %,0.0087
Belarus,9449940,-0.0003,-3088,47,202910,8730.0,1.7,40,79 %,0.0012
Norway,5412632,0.0079,42384,15,365268,28000.0,1.7,40,83 %,0.0007000000000000001
Luxembourg,623861,0.0166,10249,242,2590,9741.0,1.5,40,88 %,0.0001
Barbados,287305,0.0012,350,668,430,-79.0,1.6,40,31 %,0.0
Ukraine,43785122,-0.0059,-259876,75,579320,10000.0,1.4,41,69 %,0.0056000000000000008
Canada,37674770,0.0089,331107,4,9093510,242032.0,1.5,41,81 %,0.0048
Sweden,10086531,0.0063,62886,25,410340,40000.0,1.9,41,88 %,0.0013
Slovakia,5459116,0.0005,2629,114,48088,1485.0,1.5,41,54 %,0.0007000000000000001
Aruba,106675,0.0043,452,593,180,201.0,1.9,41,44 %,0.0
France,65244628,0.0022,143783,119,547557,36527.0,1.9,42,82 %,0.0084
Poland,37854825,-0.0011,-41157,124,306230,-29395.0,1.4,42,60 %,0.0049
Taiwan,23808164,0.0018,42899,673,35410,30001.0,1.2,42,79 %,0.0031
Belgium,11579477,0.0044,50295,383,30280,48000.0,1.7,42,98 %,0.0015
Cuba,11327988,-0.0006,-6867,106,106440,-14400.0,1.6,42,78 %,0.0015
Serbia,8744288,-0.004,-34864,100,87460,4000.0,1.5,42,56 %,0.0011
Singapore,5840996,0.0079,46005,8358,700,27028.0,1.2,42,N.A.,0.0008
Denmark,5788108,0.0034999999999999996,20326,137,42430,15200.0,1.8,42,88 %,0.0007000000000000001
Estonia,1326357,0.0007000000000000001,887,31,42390,3911.0,1.6,42,68 %,0.0002
Curaçao,163958,0.0040999999999999995,669,370,444,515.0,1.8,42,89 %,0.0
Romania,19262731,-0.0066,-126866,84,230170,-73999.0,1.6,43,55 %,0.0025
Netherlands,17127290,0.0022,37742,508,33720,16000.0,1.7,43,92 %,0.0022
Czech Republic (Czechia),10705012,0.0018,19772,139,77240,22011.0,1.6,43,74 %,0.0014000000000000002
Hungary,9665192,-0.0025,-24328,107,90530,6000.0,1.5,43,72 %,0.0012
Austria,8996022,0.0056999999999999993,51296,109,82409,65000.0,1.5,43,57 %,0.0012
Switzerland,8641786,0.0074,63257,219,39516,52000.0,1.5,43,74 %,0.0011
Finland,5539002,0.0015,8564,18,303890,14000.0,1.5,43,86 %,0.0007000000000000001
Bosnia and Herzegovina,3284806,-0.0060999999999999995,-20181,64,51000,-21585.0,1.3,43,52 %,0.0004
Malta,441308,0.0027,1171,1380,320,900.0,1.5,43,93 %,0.0001
Channel Islands,173536,0.009300000000000001,1604,915,190,1351.0,1.5,43,30 %,0.0
U.S. Virgin Islands,104456,-0.0015,-153,298,350,-451.0,2.0,43,96 %,0.0
South Korea,51260395,0.0009,43877,527,97230,11731.0,1.1,44,82 %,0.0066
Croatia,4110214,-0.0060999999999999995,-25037,73,55960,-8001.0,1.4,44,58 %,0.0005
Puerto Rico,2874636,-0.024700000000000003,-72555,323,8870,-97986.0,1.2,44,N.A.,0.0004
Latvia,1890218,-0.0108,-20545,30,62200,-14837.0,1.7,44,69 %,0.0002
Guadeloupe,400110,0.0002,68,237,1690,-1440.0,2.2,44,N.A.,0.0001
Spain,46751175,0.0004,18002,94,498800,40000.0,1.3,45,80 %,0.006
Hong Kong,7484618,0.008199999999999999,60827,7140,1050,29308.0,1.3,45,N.A.,0.001
Bulgaria,6958627,-0.0074,-51674,64,108560,-4800.0,1.6,45,76 %,0.0009
Lithuania,2729553,-0.013500000000000002,-37338,43,62674,-32780.0,1.7,45,71 %,0.0003
Slovenia,2078881,0.0001,284,103,20140,2000.0,1.6,45,55 %,0.0003
Germany,83730223,0.0032,266897,240,348560,543822.0,1.6,46,76 %,0.010700000000000001
Greece,10433037,-0.0048,-50401,81,128900,-16000.0,1.3,46,85 %,0.0013
Portugal,10202571,-0.0029,-29478,111,91590,-6000.0,1.3,46,66 %,0.0013
Italy,60479424,-0.0015,-88249,206,294140,148943.0,1.3,47,69 %,0.0078000000000000005
Martinique,375323,-0.0008,-289,354,1060,-960.0,1.9,47,92 %,0.0
Japan,126552765,-0.003,-383840,347,364555,71560.0,1.4,48,92 %,0.016200000000000003
Isle of Man,84942,0.0053,449,149,570,,N.A.,N.A.,53 %,0.0
Andorra,77240,0.0016,123,164,470,,N.A.,N.A.,88 %,0.0
Dominica,71950,0.0025,178,96,750,,N.A.,N.A.,74 %,0.0
Cayman Islands,65564,0.011899999999999999,774,274,240,,N.A.,N.A.,97 %,0.0
Bermuda,62323,-0.0036,-228,1246,50,,N.A.,N.A.,97 %,0.0
Marshall Islands,59109,0.0068000000000000005,399,329,180,,N.A.,N.A.,70 %,0.0
Northern Mariana Islands,57490,0.006,343,125,460,,N.A.,N.A.,88 %,0.0
Greenland,56750,0.0017000000000000001,98,0,410450,,N.A.,N.A.,87 %,0.0
American Samoa,55215,-0.0022,-121,276,200,,N.A.,N.A.,88 %,0.0
Saint Kitts & Nevis,53123,0.0070999999999999995,376,205,260,,N.A.,N.A.,33 %,0.0
Faeroe Islands,48826,0.0038,185,35,1396,,N.A.,N.A.,43 %,0.0
Sint Maarten,42776,0.0115,488,1261,34,,N.A.,N.A.,96 %,0.0
Monaco,39186,0.0070999999999999995,278,26337,1,,N.A.,N.A.,N.A.,0.0
Turks and Caicos,38609,0.0138,526,41,950,,N.A.,N.A.,89 %,0.0
Saint Martin,38529,0.0175,664,730,53,,N.A.,N.A.,0 %,0.0
Liechtenstein,38106,0.0029,109,238,160,,N.A.,N.A.,15 %,0.0
San Marino,33917,0.0021,71,566,60,,N.A.,N.A.,97 %,0.0
Gibraltar,33693,-0.0003,-10,3369,10,,N.A.,N.A.,N.A.,0.0
British Virgin Islands,30190,0.0067,201,202,150,,N.A.,N.A.,52 %,0.0
Caribbean Netherlands,26173,0.0093999999999999986,244,80,328,,N.A.,N.A.,75 %,0.0
Palau,18077,0.0048,86,39,460,,N.A.,N.A.,N.A.,0.0
Cook Islands,17561,0.0009,16,73,240,,N.A.,N.A.,75 %,0.0
Anguilla,14976,0.0090000000000000011,134,167,90,,N.A.,N.A.,N.A.,0.0
Tuvalu,11762,0.0125,146,393,30,,N.A.,N.A.,62 %,0.0
Wallis & Futuna,11276,-0.0169,-193,80,140,,N.A.,N.A.,0 %,0.0
Nauru,10810,0.0063,68,541,20,,N.A.,N.A.,N.A.,0.0
Saint Barthelemy,9871,0.003,30,470,21,,N.A.,N.A.,0 %,0.0
Saint Helena,6073,0.003,18,16,390,,N.A.,N.A.,27 %,0.0
Saint Pierre & Miquelon,5800,-0.0048,-28,25,230,,N.A.,N.A.,100 %,0.0
Montserrat,4991,0.0006,3,50,100,,N.A.,N.A.,10 %,0.0
Falkland Islands,3458,0.0305,103,0,12170,,N.A.,N.A.,66 %,0.0
Niue,1624,0.0068000000000000005,11,6,260,,N.A.,N.A.,46 %,0.0
Tokelau,1354,0.0127,17,136,10,,N.A.,N.A.,0 %,0.0
Holy See,801,0.0025,2,2003,0,,N.A.,N.A.,N.A.,0.0
